case_name,segment_name,weight_N,speed_mps,altitude_m,gamma_deg,drag_N,weight_component_along_path_N,required_thrust_level_flight_N,required_thrust_descent_N,available_thrust_N,electric_thrust_proxy_N,net_required_thrust_after_electric_N,thrust_margin_level_flight_N,thrust_margin_descent_N,thrust_margin_change_due_to_descent_N,conclusion_flag,approach_drag_factor,rating,electric_assist_enabled,engine_available_thrust_N,mission_required_thrust_N,mission_thrust_margin_N,unmet_electric_load_Wh
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-2.5,74306.91599465297,-33652.15216315901,74306.91599465297,40654.76383149396,75526.42279266262,0.0,40654.76383149396,1219.50679800965,34871.65896116866,33652.15216315901,no_low_margin_in_force_balance,0.75,approach,False,75526.42279266262,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-2.5,74306.91599465297,-33652.15216315901,74306.91599465297,40654.76383149396,189895.00587869462,0.0,40654.76383149396,115588.08988404165,149240.24204720065,33652.152163159,no_low_margin_in_force_balance,0.75,climb,False,189895.00587869462,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-2.5,99075.88799287063,-33652.15216315901,99075.88799287063,65423.73582971162,75526.42279266262,0.0,65423.73582971162,-23549.46520020801,10102.686962950997,33652.15216315901,constraint_sensitive_to_approach_model,1.0,approach,False,75526.42279266262,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-2.5,99075.88799287063,-33652.15216315901,99075.88799287063,65423.73582971162,189895.00587869462,0.0,65423.73582971162,90819.11788582399,124471.27004898299,33652.152163159,no_low_margin_in_force_balance,1.0,climb,False,189895.00587869462,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-2.5,123844.85999108829,-33652.15216315901,123844.85999108829,90192.70782792929,75526.42279266262,0.0,90192.70782792929,-48318.43719842567,-14666.285035266672,33652.152163159,sizing_or_schedule_issue,1.25,approach,False,75526.42279266262,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-2.5,123844.85999108829,-33652.15216315901,123844.85999108829,90192.70782792929,189895.00587869462,0.0,90192.70782792929,66050.14588760633,99702.29805076533,33652.152163159,no_low_margin_in_force_balance,1.25,climb,False,189895.00587869462,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.0,74306.91599465297,-40376.944048774145,74306.91599465297,33929.971945878824,75526.42279266262,0.0,33929.971945878824,1219.50679800965,41596.450846783795,40376.944048774145,no_low_margin_in_force_balance,0.75,approach,False,75526.42279266262,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.0,74306.91599465297,-40376.944048774145,74306.91599465297,33929.971945878824,189895.00587869462,0.0,33929.971945878824,115588.08988404165,155965.0339328158,40376.94404877415,no_low_margin_in_force_balance,0.75,climb,False,189895.00587869462,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.0,99075.88799287063,-40376.944048774145,99075.88799287063,58698.943944096485,75526.42279266262,0.0,58698.943944096485,-23549.46520020801,16827.478848566134,40376.944048774145,constraint_sensitive_to_approach_model,1.0,approach,False,75526.42279266262,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.0,99075.88799287063,-40376.944048774145,99075.88799287063,58698.943944096485,189895.00587869462,0.0,58698.943944096485,90819.11788582399,131196.06193459814,40376.94404877415,no_low_margin_in_force_balance,1.0,climb,False,189895.00587869462,180137.97816885565,-104611.55537619304,0.0
