variant,engine_name,design_point,rating,mach,altitude_m,throttle,third_stream_schedule,variable_nozzle_schedule,shaft_power_extraction_W,gross_thrust_N,net_thrust_N,fuel_flow_kg_s,tsfc_kg_per_N_s,thrust_penalty_from_extraction_N,fuel_flow_increment_from_extraction_kg_s,constraint_flags
adaptive_cycle,three_stream_variable_cycle_turbofan,takeoff_extraction_0,takeoff,0.2,0.0,1.0,0.1,0.85,0.0,114873.55872370694,114873.55872370694,2.117191483252121,1.8430624999999998e-05,0.0,0.0,
adaptive_cycle,three_stream_variable_cycle_turbofan,takeoff_extraction_500000,takeoff,0.2,0.0,1.0,0.1,0.85,500000.0,114873.55872370694,95032.2888824371,2.123191483252121,2.234179044007544e-05,19841.26984126984,0.006,
adaptive_cycle,three_stream_variable_cycle_turbofan,takeoff_extraction_1000000,takeoff,0.2,0.0,1.0,0.1,0.85,1000000.0,114873.55872370694,75191.01904116725,2.129191483252121,2.8317098376953556e-05,39682.53968253968,0.012,
adaptive_cycle,three_stream_variable_cycle_turbofan,takeoff_extraction_2000000,takeoff,0.2,0.0,1.0,0.1,0.85,2000000.0,114873.55872370694,35508.47935862758,2.141191483252121,6.030084987944917e-05,79365.07936507936,0.024,
adaptive_cycle,three_stream_variable_cycle_turbofan,takeoff_extraction_3000000,takeoff,0.2,0.0,1.0,0.1,0.85,3000000.0,114873.55872370694,0.0,2.153191483252121,inf,119047.61904761905,0.036000000000000004,low_net_thrust
adaptive_cycle,three_stream_variable_cycle_turbofan,climb_extraction_0,climb,0.55,5000.0,0.88,0.15,0.7,0.0,63157.43439393696,63157.43439393696,0.935282656581214,1.4808750000000001e-05,0.0,0.0,
adaptive_cycle,three_stream_variable_cycle_turbofan,climb_extraction_500000,climb,0.55,5000.0,0.88,0.15,0.7,500000.0,63157.43439393696,54716.31244837152,0.941282656581214,1.7202962233052104e-05,8441.121945565435,0.006,
adaptive_cycle,three_stream_variable_cycle_turbofan,climb_extraction_1000000,climb,0.55,5000.0,0.88,0.15,0.7,1000000.0,63157.43439393696,46275.19050280609,0.947282656581214,2.047063764164886e-05,16882.24389113087,0.012,
adaptive_cycle,three_stream_variable_cycle_turbofan,climb_extraction_2000000,climb,0.55,5000.0,0.88,0.15,0.7,2000000.0,63157.43439393696,29392.946611675216,0.959282656581214,3.263649164729119e-05,33764.48778226174,0.024,
adaptive_cycle,three_stream_variable_cycle_turbofan,climb_extraction_3000000,climb,0.55,5000.0,0.88,0.15,0.7,3000000.0,63157.43439393696,12510.702720544345,0.971282656581214,7.763613909442756e-05,50646.73167339261,0.036000000000000004,
adaptive_cycle,three_stream_variable_cycle_turbofan,approach_extraction_0,approach,0.22,500.0,0.35,0.5,0.45,0.0,37576.14338577263,37576.14338577263,0.6204290974783383,1.651125e-05,0.0,0.0,
adaptive_cycle,three_stream_variable_cycle_turbofan,approach_extraction_500000,approach,0.22,500.0,0.35,0.5,0.45,500000.0,37576.14338577263,17734.87354450279,0.6264290974783383,3.532188125877617e-05,19841.26984126984,0.006,
adaptive_cycle,three_stream_variable_cycle_turbofan,approach_extraction_1000000,approach,0.22,500.0,0.35,0.5,0.45,1000000.0,37576.14338577263,0.0,0.6324290974783383,inf,39682.53968253968,0.012,low_net_thrust
adaptive_cycle,three_stream_variable_cycle_turbofan,approach_extraction_2000000,approach,0.22,500.0,0.35,0.5,0.45,2000000.0,37576.14338577263,0.0,0.6444290974783383,inf,79365.07936507936,0.024,low_net_thrust
adaptive_cycle,three_stream_variable_cycle_turbofan,approach_extraction_3000000,approach,0.22,500.0,0.35,0.5,0.45,3000000.0,37576.14338577263,0.0,0.6564290974783383,inf,119047.61904761905,0.036000000000000004,low_net_thrust
