case_name,segment_name,segment_type,distance_km,duration_s,altitude_start_m,altitude_end_m,mach,speed_mps,engine_rating,electric_fan_mode,start_mass_kg,end_mass_kg,fuel_burn_kg,electric_energy_Wh,max_electric_power_W,max_thermal_load_W,electric_thrust_proxy_N,blowing_momentum_coefficient,average_required_thrust_N,available_thrust_N,thrust_margin_N,soc_start,soc_end,unmet_electric_load_Wh,constraint_flags
baseline_fixed_cycle_turbofan,taxi_out,taxi,0.0,900.0,0.0,0.0,,,idle,off,90714.9911824971,90673.59118205609,41.40000044101941,0.0,0.0,0.0,0.0,0.0,0.0,23000.00024501078,23000.00024501078,,,0.0,
baseline_fixed_cycle_turbofan,takeoff,takeoff,2.0,60.0,0.0,50.0,0.22045983598964827,75.0,takeoff,assist,90673.59118205609,90424.53905307296,249.05212898312976,0.0,0.0,0.0,0.0,0.0,142272.66767448164,218466.77980976296,76194.11213528132,,,0.0,
baseline_fixed_cycle_turbofan,climb,climb,220.0,1253.670155686434,50.0,10668.0,0.55,175.48475490312782,climb,degraded,90424.53905307296,88396.83542101394,2027.7036320590205,0.0,0.0,0.0,0.0,0.0,101088.37354774412,119878.07484836802,18789.7013006239,,,0.0,
baseline_fixed_cycle_turbofan,cruise,cruise,2800.0,12589.839835595792,10668.0,10668.0,0.75,222.40155844424964,cruise,off,88396.83542101394,78931.62720524537,9465.208215768565,0.0,0.0,0.0,0.0,0.0,60544.7359388081,53700.94536189399,-6843.790576914114,,,0.0,low_thrust_margin
baseline_fixed_cycle_turbofan,descent,descent,150.0,857.2533257094071,10668.0,500.0,0.55,174.97744890738073,idle,off,78931.62720524537,78670.62614832571,261.0010569196569,0.0,0.0,0.0,0.0,0.0,53280.23634544853,13382.944791774837,-39897.2915536737,,,0.0,low_thrust_margin
baseline_fixed_cycle_turbofan,approach_landing,approach,28.0,480.0,500.0,0.0,0.20628697855720785,70.0,approach,assist,78670.62614832571,78018.0778553971,652.548292928605,0.0,0.0,0.0,0.0,0.0,180137.97816885565,75526.42279266262,-104611.55537619304,,,0.0,low_thrust_margin
adaptive_cycle_turbofan,taxi_out,taxi,0.0,900.0,0.0,0.0,,,idle,off,88948.72153967943,88907.94253924504,40.77900043440412,0.0,0.0,0.0,0.0,0.0,0.0,23000.00024501078,23000.00024501078,,,0.0,
adaptive_cycle_turbofan,takeoff,takeoff,2.0,60.0,0.0,50.0,0.22045983598964827,75.0,takeoff,assist,88907.94253924504,88655.51248612905,252.430053115981,0.0,0.0,0.0,0.0,0.0,139502.251952398,228270.47655372607,88768.22460132808,,,0.0,
adaptive_cycle_turbofan,climb,climb,220.0,1253.670155686434,50.0,10668.0,0.55,175.48475490312782,climb,degraded,88655.51248612905,86803.81892258178,1851.6935635472746,0.0,0.0,0.0,0.0,0.0,99739.55543936489,122815.08768215304,23075.532242788147,,,0.0,
adaptive_cycle_turbofan,cruise,cruise,2800.0,12589.839835595792,10668.0,10668.0,0.75,222.40155844424964,cruise,off,86803.81892258178,78718.24931504912,8085.569607532656,0.0,0.0,0.0,0.0,0.0,59777.12516162566,53700.94536189399,-6076.179799731675,,,0.0,low_thrust_margin
adaptive_cycle_turbofan,descent,descent,150.0,857.2533257094071,10668.0,500.0,0.55,174.97744890738073,idle,off,78718.24931504912,78495.29149254208,222.95782250703724,0.0,0.0,0.0,0.0,0.0,53206.308353989,13382.944791774837,-39823.36356221416,,,0.0,low_thrust_margin
adaptive_cycle_turbofan,approach_landing,approach,28.0,480.0,500.0,0.0,0.20628697855720785,70.0,approach,assist,78495.29149254208,77887.2867918397,608.0047007023835,0.0,0.0,0.0,0.0,0.0,179696.44083137257,76715.96395164705,-102980.47687972552,,,0.0,low_thrust_margin
adaptive_cycle_plus_hybrid_electric,taxi_out,taxi,0.0,900.0,0.0,0.0,,,idle,off,93643.22504581024,93602.44604537584,40.77900043440412,0.0,0.0,0.0,0.0,0.0,0.0,23000.00024501078,23000.00024501078,0.9,0.9,0.0,
adaptive_cycle_plus_hybrid_electric,takeoff,takeoff,2.0,60.0,0.0,50.0,0.22045983598964827,75.0,takeoff,assist,93602.44604537584,93348.48407736624,253.96196800959802,66666.66666666667,4000000.0,464573.2800518414,35750.4,0.06500921592830443,146868.2284017416,179589.94105896077,32721.712657219177,0.9,0.8283782977096681,0.0,
adaptive_cycle_plus_hybrid_electric,climb,climb,220.0,1253.670155686434,50.0,10668.0,0.55,175.48475490312782,climb,degraded,93348.48407736624,91044.38016408028,2304.103913285965,696483.4198257967,2000000.0,264201.5336429421,7639.637988724823,0.00438032447983545,105686.57054315254,103391.1774771772,-2295.3930659753387,0.8283782977096681,0.4431954559995448,0.0,low_thrust_margin
adaptive_cycle_plus_hybrid_electric,cruise,cruise,2800.0,12589.839835595792,10668.0,10668.0,0.75,222.40155844424964,cruise,off,91044.38016408028,82958.81055654763,8085.569607532656,0.0,0.0,0.0,0.0,0.0,61851.3597762141,53700.94536189399,-8150.414414320112,0.4431954559995448,0.4431954559995448,0.0,low_thrust_margin
adaptive_cycle_plus_hybrid_electric,descent,descent,150.0,857.2533257094071,10668.0,500.0,0.55,174.97744890738073,idle,off,82958.81055654763,82735.85273404059,222.95782250703724,0.0,0.0,0.0,0.0,0.0,54713.04585645388,13382.944791774837,-41330.10106467904,0.4431954559995448,0.4431954559995448,0.0,low_thrust_margin
adaptive_cycle_plus_hybrid_electric,approach_landing,approach,28.0,480.0,500.0,0.0,0.20628697855720785,70.0,approach,assist,82735.85273404059,82121.72037376373,614.1323602768515,246216.29010292262,1846622.1757719195,219367.86724715657,17683.253955191904,0.037721842709664194,198689.31357124494,52183.75015945631,-146505.56341178864,0.4431954559995448,0.2,287117.0432304107,low_thrust_margin;unmet_electric_load
