case_id,propulsion_case,changed_parameter,changed_value,raw_all_segment_min_thrust_margin_N,approach_only_corrected_margin_N,corrected_all_segment_min_thrust_margin_N,raw_low_thrust_margin,approach_only_corrected_low_thrust_margin,corrected_all_segment_low_thrust_margin,approach_only_model_sensitive,sizing_or_schedule_low_thrust,unmet_electric_load_Wh,conclusion_status_approach_corrected,conclusion_status_all_segment_corrected
V05-0001_baseline,baseline_fixed_cycle_turbofan,baseline,baseline,-104611.55537619304,16827.478848566134,-39897.2915536737,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0001_adaptive,adaptive_cycle_turbofan,baseline,baseline,-102980.47687972552,18169.876713370526,-39823.36356221416,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0001_hybrid,adaptive_cycle_plus_hybrid_electric,baseline,baseline,-146505.56341178864,-14631.989715506847,-41330.10106467904,True,True,True,False,True,287117.0432304107,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0002_baseline,baseline_fixed_cycle_turbofan,sea_level_static_thrust_N_per_engine,130000.0,-95268.98663567337,26502.39418015282,-38233.538181132215,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0002_adaptive,adaptive_cycle_turbofan,sea_level_static_thrust_N_per_engine,130000.0,-93441.65628074823,28014.41784955097,-38152.16857649371,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0002_hybrid,adaptive_cycle_plus_hybrid_electric,sea_level_static_thrust_N_per_engine,130000.0,-136976.72253097157,-4795.8833977598115,-39660.810574126815,True,True,True,False,True,287117.0432304107,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0003_baseline,baseline_fixed_cycle_turbofan,sea_level_static_thrust_N_per_engine,150000.0,-82567.55882627546,39486.89502415299,-35981.59780710242,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0003_adaptive,adaptive_cycle_turbofan,sea_level_static_thrust_N_per_engine,150000.0,-80470.90720288726,41227.668020529236,-35889.251551345245,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0003_hybrid,adaptive_cycle_plus_hybrid_electric,sea_level_static_thrust_N_per_engine,150000.0,-124030.54698256808,8404.74125960264,-37401.987996387536,True,False,True,True,True,287117.0432304107,rejected_unmet_electric_load,rejected_all_segment_low_thrust_margin
V05-0004_baseline,baseline_fixed_cycle_turbofan,cruise_tsfc_multiplier,0.9,-104412.86717438324,16896.28796396884,-39860.904733480274,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0004_adaptive,adaptive_cycle_turbofan,cruise_tsfc_multiplier,0.9,-102811.2587453103,18228.405356880066,-39792.38123827279,True,False,True,True,True,0.0,candidate_for_sensitivity_study,rejected_all_segment_low_thrust_margin
V05-0004_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_tsfc_multiplier,0.9,-146329.4045082955,-14569.216494470049,-41297.75191748103,True,True,True,False,True,287117.0432304107,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
