case_id,case_family,propulsion_case,design_variable_summary,min_margin_segment_name,raw_min_margin_segment_name,sea_level_static_thrust_N_per_engine,cruise_tsfc_multiplier,cruise_ld,mtow_upper_kg,total_electric_power_W,battery_capacity_Wh,max_generator_power_W_total,hybrid_mass_per_MW_kg,blown_flap_clmax_increment_fraction,approach_descent_angle_deg
V05-0001_baseline,baseline,baseline_fixed_cycle_turbofan,baseline,descent,approach_landing,115000.0,1.0,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0001_adaptive,baseline,adaptive_cycle_turbofan,baseline,descent,approach_landing,115000.0,1.0,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0001_hybrid,baseline,adaptive_cycle_plus_hybrid_electric,baseline,descent,approach_landing,115000.0,1.0,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0002_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,sea_level_static_thrust_N_per_engine=130000,descent,approach_landing,130000.0,1.0,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0002_adaptive,one_at_a_time,adaptive_cycle_turbofan,sea_level_static_thrust_N_per_engine=130000,descent,approach_landing,130000.0,1.0,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0002_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,sea_level_static_thrust_N_per_engine=130000,descent,approach_landing,130000.0,1.0,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0003_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,sea_level_static_thrust_N_per_engine=150000,descent,approach_landing,150000.0,1.0,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0003_adaptive,one_at_a_time,adaptive_cycle_turbofan,sea_level_static_thrust_N_per_engine=150000,descent,approach_landing,150000.0,1.0,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0003_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,sea_level_static_thrust_N_per_engine=150000,descent,approach_landing,150000.0,1.0,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0004_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,cruise_tsfc_multiplier=0.9,descent,approach_landing,115000.0,0.9,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0004_adaptive,one_at_a_time,adaptive_cycle_turbofan,cruise_tsfc_multiplier=0.9,descent,approach_landing,115000.0,0.9,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0004_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,cruise_tsfc_multiplier=0.9,descent,approach_landing,115000.0,0.9,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0005_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,cruise_tsfc_multiplier=1.1,descent,approach_landing,115000.0,1.1,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0005_adaptive,one_at_a_time,adaptive_cycle_turbofan,cruise_tsfc_multiplier=1.1,descent,approach_landing,115000.0,1.1,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0005_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,cruise_tsfc_multiplier=1.1,descent,approach_landing,115000.0,1.1,0.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0006_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,cruise_ld=13,descent,approach_landing,115000.0,1.0,13.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0006_adaptive,one_at_a_time,adaptive_cycle_turbofan,cruise_ld=13,descent,approach_landing,115000.0,1.0,13.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0006_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,cruise_ld=13,descent,approach_landing,115000.0,1.0,13.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0007_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,cruise_ld=15,descent,approach_landing,115000.0,1.0,15.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0007_adaptive,one_at_a_time,adaptive_cycle_turbofan,cruise_ld=15,descent,approach_landing,115000.0,1.0,15.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0007_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,cruise_ld=15,descent,approach_landing,115000.0,1.0,15.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0008_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,cruise_ld=17,descent,approach_landing,115000.0,1.0,17.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0008_adaptive,one_at_a_time,adaptive_cycle_turbofan,cruise_ld=17,descent,approach_landing,115000.0,1.0,17.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0008_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,cruise_ld=17,descent,approach_landing,115000.0,1.0,17.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0009_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,cruise_ld=18,descent,approach_landing,115000.0,1.0,18.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0009_adaptive,one_at_a_time,adaptive_cycle_turbofan,cruise_ld=18,descent,approach_landing,115000.0,1.0,18.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0009_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,cruise_ld=18,descent,approach_landing,115000.0,1.0,18.0,95000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0010_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,mtow_upper_kg=87500,descent,approach_landing,115000.0,1.0,0.0,87500.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0010_adaptive,one_at_a_time,adaptive_cycle_turbofan,mtow_upper_kg=87500,descent,approach_landing,115000.0,1.0,0.0,87500.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0010_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,mtow_upper_kg=87500,descent,approach_landing,115000.0,1.0,0.0,87500.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0011_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,mtow_upper_kg=90000,descent,approach_landing,115000.0,1.0,0.0,90000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0011_adaptive,one_at_a_time,adaptive_cycle_turbofan,mtow_upper_kg=90000,descent,approach_landing,115000.0,1.0,0.0,90000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0011_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,mtow_upper_kg=90000,descent,approach_landing,115000.0,1.0,0.0,90000.0,4000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0012_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,total_electric_power_W=0,descent,approach_landing,115000.0,1.0,0.0,95000.0,0.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0012_adaptive,one_at_a_time,adaptive_cycle_turbofan,total_electric_power_W=0,descent,approach_landing,115000.0,1.0,0.0,95000.0,0.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0012_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,total_electric_power_W=0,descent,approach_landing,115000.0,1.0,0.0,95000.0,0.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0013_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,total_electric_power_W=2e+06,descent,approach_landing,115000.0,1.0,0.0,95000.0,2000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0013_adaptive,one_at_a_time,adaptive_cycle_turbofan,total_electric_power_W=2e+06,descent,approach_landing,115000.0,1.0,0.0,95000.0,2000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0013_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,total_electric_power_W=2e+06,approach_landing,approach_landing,115000.0,1.0,0.0,95000.0,2000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0014_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,total_electric_power_W=6e+06,descent,approach_landing,115000.0,1.0,0.0,95000.0,6000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0014_adaptive,one_at_a_time,adaptive_cycle_turbofan,total_electric_power_W=6e+06,descent,approach_landing,115000.0,1.0,0.0,95000.0,6000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0014_hybrid,one_at_a_time,adaptive_cycle_plus_hybrid_electric,total_electric_power_W=6e+06,takeoff,approach_landing,115000.0,1.0,0.0,95000.0,6000000.0,500000.0,6000000.0,250.0,0.0,-3.0
V05-0015_baseline,one_at_a_time,baseline_fixed_cycle_turbofan,total_electric_power_W=8e+06,descent,approach_landing,115000.0,1.0,0.0,95000.0,8000000.0,500000.0,6000000.0,250.0,0.0,-3.0
