case_id,propulsion_case,classification_basis,scope,segment_name,constraint_flag,value,threshold
V05-0001_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0001_baseline,baseline_fixed_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6843.790576914114,0.0
V05-0001_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39897.2915536737,0.0
V05-0001_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104611.55537619304,0.0
V05-0001_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39897.2915536737,0.0
V05-0001_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0001_adaptive,adaptive_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6076.179799731675,0.0
V05-0001_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39823.36356221416,0.0
V05-0001_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102980.47687972552,0.0
V05-0001_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39823.36356221416,0.0
V05-0001_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0001_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,unmet_electric_load,1.0,0.0
V05-0001_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,climb,low_thrust_margin,-2295.3930659753387,0.0
V05-0001_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,cruise,low_thrust_margin,-8150.414414320112,0.0
V05-0001_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-41330.10106467904,0.0
V05-0001_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-146505.56341178864,0.0
V05-0001_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,unmet_electric_load,287117.0432304107,0.0
V05-0001_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-41330.10106467904,0.0
V05-0002_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0002_baseline,baseline_fixed_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-560.1159643785577,0.0
V05-0002_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-38233.538181132215,0.0
V05-0002_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-95268.98663567337,0.0
V05-0002_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-38233.538181132215,0.0
V05-0002_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0002_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-38152.16857649371,0.0
V05-0002_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-93441.65628074823,0.0
V05-0002_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-38152.16857649371,0.0
V05-0002_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0002_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,unmet_electric_load,1.0,0.0
V05-0002_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,cruise,low_thrust_margin,-1783.1800334354411,0.0
V05-0002_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-39660.810574126815,0.0
V05-0002_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-136976.72253097157,0.0
V05-0002_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,unmet_electric_load,287117.0432304107,0.0
V05-0002_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-39660.810574126815,0.0
V05-0003_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0003_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-35981.59780710242,0.0
V05-0003_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-82567.55882627546,0.0
V05-0003_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-35981.59780710242,0.0
V05-0003_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0003_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-35889.251551345245,0.0
V05-0003_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-80470.90720288726,0.0
V05-0003_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-35889.251551345245,0.0
V05-0003_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
V05-0003_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,unmet_electric_load,1.0,0.0
V05-0003_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,descent,low_thrust_margin,-37401.987996387536,0.0
V05-0003_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,low_thrust_margin,-124030.54698256808,0.0
V05-0003_hybrid,adaptive_cycle_plus_hybrid_electric,raw,segment,approach_landing,unmet_electric_load,287117.0432304107,0.0
V05-0003_hybrid,adaptive_cycle_plus_hybrid_electric,corrected,mission,descent,corrected_low_thrust_margin,-37401.987996387536,0.0
V05-0004_baseline,baseline_fixed_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0004_baseline,baseline_fixed_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-6335.562439715046,0.0
V05-0004_baseline,baseline_fixed_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39860.904733480274,0.0
V05-0004_baseline,baseline_fixed_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-104412.86717438324,0.0
V05-0004_baseline,baseline_fixed_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39860.904733480274,0.0
V05-0004_adaptive,adaptive_cycle_turbofan,raw,mission,,low_thrust_margin,1.0,0.0
V05-0004_adaptive,adaptive_cycle_turbofan,raw,segment,cruise,low_thrust_margin,-5649.549504767259,0.0
V05-0004_adaptive,adaptive_cycle_turbofan,raw,segment,descent,low_thrust_margin,-39792.38123827279,0.0
V05-0004_adaptive,adaptive_cycle_turbofan,raw,segment,approach_landing,low_thrust_margin,-102811.2587453103,0.0
V05-0004_adaptive,adaptive_cycle_turbofan,corrected,mission,descent,corrected_low_thrust_margin,-39792.38123827279,0.0
V05-0004_hybrid,adaptive_cycle_plus_hybrid_electric,raw,mission,,low_thrust_margin,1.0,0.0
