case_id,propulsion_case,changed_parameter,changed_value,non_approach_limiting_segment,non_approach_min_thrust_margin_N,non_approach_low_thrust_margin,suspected_driver
V05-0001_baseline,baseline_fixed_cycle_turbofan,baseline,baseline,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0001_adaptive,adaptive_cycle_turbofan,baseline,baseline,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0001_hybrid,adaptive_cycle_plus_hybrid_electric,baseline,baseline,descent,-41330.10106467904,True,descent_surrogate_idle_drag_balance
V05-0002_baseline,baseline_fixed_cycle_turbofan,sea_level_static_thrust_N_per_engine,130000.0,descent,-38233.538181132215,True,descent_surrogate_idle_drag_balance
V05-0002_adaptive,adaptive_cycle_turbofan,sea_level_static_thrust_N_per_engine,130000.0,descent,-38152.16857649371,True,descent_surrogate_idle_drag_balance
V05-0002_hybrid,adaptive_cycle_plus_hybrid_electric,sea_level_static_thrust_N_per_engine,130000.0,descent,-39660.810574126815,True,descent_surrogate_idle_drag_balance
V05-0003_baseline,baseline_fixed_cycle_turbofan,sea_level_static_thrust_N_per_engine,150000.0,descent,-35981.59780710242,True,descent_surrogate_idle_drag_balance
V05-0003_adaptive,adaptive_cycle_turbofan,sea_level_static_thrust_N_per_engine,150000.0,descent,-35889.251551345245,True,descent_surrogate_idle_drag_balance
V05-0003_hybrid,adaptive_cycle_plus_hybrid_electric,sea_level_static_thrust_N_per_engine,150000.0,descent,-37401.987996387536,True,descent_surrogate_idle_drag_balance
V05-0004_baseline,baseline_fixed_cycle_turbofan,cruise_tsfc_multiplier,0.9,descent,-39860.904733480274,True,descent_surrogate_idle_drag_balance
V05-0004_adaptive,adaptive_cycle_turbofan,cruise_tsfc_multiplier,0.9,descent,-39792.38123827279,True,descent_surrogate_idle_drag_balance
V05-0004_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_tsfc_multiplier,0.9,descent,-41297.75191748103,True,descent_surrogate_idle_drag_balance
V05-0005_baseline,baseline_fixed_cycle_turbofan,cruise_tsfc_multiplier,1.1,descent,-39933.728111399294,True,descent_surrogate_idle_drag_balance
V05-0005_adaptive,adaptive_cycle_turbofan,cruise_tsfc_multiplier,1.1,descent,-39854.38219237438,True,descent_surrogate_idle_drag_balance
V05-0005_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_tsfc_multiplier,1.1,descent,-41362.484843241036,True,descent_surrogate_idle_drag_balance
V05-0006_baseline,baseline_fixed_cycle_turbofan,cruise_ld,13.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0006_adaptive,adaptive_cycle_turbofan,cruise_ld,13.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0006_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_ld,13.0,descent,-41330.10106467904,True,descent_surrogate_idle_drag_balance
V05-0007_baseline,baseline_fixed_cycle_turbofan,cruise_ld,15.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0007_adaptive,adaptive_cycle_turbofan,cruise_ld,15.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0007_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_ld,15.0,descent,-41330.10106467904,True,descent_surrogate_idle_drag_balance
V05-0008_baseline,baseline_fixed_cycle_turbofan,cruise_ld,17.0,descent,-39884.83360130622,True,descent_surrogate_idle_drag_balance
V05-0008_adaptive,adaptive_cycle_turbofan,cruise_ld,17.0,descent,-39808.55751455427,True,descent_surrogate_idle_drag_balance
V05-0008_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_ld,17.0,descent,-41330.9960986534,True,descent_surrogate_idle_drag_balance
V05-0009_baseline,baseline_fixed_cycle_turbofan,cruise_ld,18.0,descent,-39870.64499366417,True,descent_surrogate_idle_drag_balance
V05-0009_adaptive,adaptive_cycle_turbofan,cruise_ld,18.0,descent,-39796.586005933525,True,descent_surrogate_idle_drag_balance
V05-0009_hybrid,adaptive_cycle_plus_hybrid_electric,cruise_ld,18.0,descent,-41312.275521884716,True,descent_surrogate_idle_drag_balance
V05-0010_baseline,baseline_fixed_cycle_turbofan,mtow_upper_kg,87500.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0010_adaptive,adaptive_cycle_turbofan,mtow_upper_kg,87500.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0010_hybrid,adaptive_cycle_plus_hybrid_electric,mtow_upper_kg,87500.0,descent,-41330.10106467904,True,descent_surrogate_idle_drag_balance
V05-0011_baseline,baseline_fixed_cycle_turbofan,mtow_upper_kg,90000.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0011_adaptive,adaptive_cycle_turbofan,mtow_upper_kg,90000.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0011_hybrid,adaptive_cycle_plus_hybrid_electric,mtow_upper_kg,90000.0,descent,-41330.10106467904,True,descent_surrogate_idle_drag_balance
V05-0012_baseline,baseline_fixed_cycle_turbofan,total_electric_power_W,0.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0012_adaptive,adaptive_cycle_turbofan,total_electric_power_W,0.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0012_hybrid,adaptive_cycle_plus_hybrid_electric,total_electric_power_W,0.0,descent,-40954.42536436887,True,descent_surrogate_idle_drag_balance
V05-0013_baseline,baseline_fixed_cycle_turbofan,total_electric_power_W,2000000.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0013_adaptive,adaptive_cycle_turbofan,total_electric_power_W,2000000.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0013_hybrid,adaptive_cycle_plus_hybrid_electric,total_electric_power_W,2000000.0,descent,-41148.37325285439,True,descent_surrogate_idle_drag_balance
V05-0014_baseline,baseline_fixed_cycle_turbofan,total_electric_power_W,6000000.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0014_adaptive,adaptive_cycle_turbofan,total_electric_power_W,6000000.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0014_hybrid,adaptive_cycle_plus_hybrid_electric,total_electric_power_W,6000000.0,takeoff,-94120.74726379325,True,takeoff_thrust_or_lift_proxy
V05-0015_baseline,baseline_fixed_cycle_turbofan,total_electric_power_W,8000000.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0015_adaptive,adaptive_cycle_turbofan,total_electric_power_W,8000000.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0015_hybrid,adaptive_cycle_plus_hybrid_electric,total_electric_power_W,8000000.0,takeoff,-77057.19997620893,True,takeoff_thrust_or_lift_proxy
V05-0016_baseline,baseline_fixed_cycle_turbofan,battery_capacity_Wh,250000.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0016_adaptive,adaptive_cycle_turbofan,battery_capacity_Wh,250000.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0016_hybrid,adaptive_cycle_plus_hybrid_electric,battery_capacity_Wh,250000.0,descent,-40967.66373910538,True,descent_surrogate_idle_drag_balance
V05-0017_baseline,baseline_fixed_cycle_turbofan,battery_capacity_Wh,1000000.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0017_adaptive,adaptive_cycle_turbofan,battery_capacity_Wh,1000000.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0017_hybrid,adaptive_cycle_plus_hybrid_electric,battery_capacity_Wh,1000000.0,descent,-42068.16183832049,True,descent_surrogate_idle_drag_balance
V05-0018_baseline,baseline_fixed_cycle_turbofan,max_generator_power_W_total,2000000.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0018_adaptive,adaptive_cycle_turbofan,max_generator_power_W_total,2000000.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0018_hybrid,adaptive_cycle_plus_hybrid_electric,max_generator_power_W_total,2000000.0,descent,-41332.74771753933,True,descent_surrogate_idle_drag_balance
V05-0019_baseline,baseline_fixed_cycle_turbofan,max_generator_power_W_total,4000000.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0019_adaptive,adaptive_cycle_turbofan,max_generator_power_W_total,4000000.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0019_hybrid,adaptive_cycle_plus_hybrid_electric,max_generator_power_W_total,4000000.0,takeoff,-51756.53075580331,True,takeoff_thrust_or_lift_proxy
V05-0020_baseline,baseline_fixed_cycle_turbofan,max_generator_power_W_total,8000000.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0020_adaptive,adaptive_cycle_turbofan,max_generator_power_W_total,8000000.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0020_hybrid,adaptive_cycle_plus_hybrid_electric,max_generator_power_W_total,8000000.0,takeoff,-51756.53075580331,True,takeoff_thrust_or_lift_proxy
V05-0021_baseline,baseline_fixed_cycle_turbofan,hybrid_mass_per_MW_kg,150.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0021_adaptive,adaptive_cycle_turbofan,hybrid_mass_per_MW_kg,150.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0021_hybrid,adaptive_cycle_plus_hybrid_electric,hybrid_mass_per_MW_kg,150.0,descent,-41184.598689549806,True,descent_surrogate_idle_drag_balance
V05-0022_baseline,baseline_fixed_cycle_turbofan,hybrid_mass_per_MW_kg,400.0,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0022_adaptive,adaptive_cycle_turbofan,hybrid_mass_per_MW_kg,400.0,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0022_hybrid,adaptive_cycle_plus_hybrid_electric,hybrid_mass_per_MW_kg,400.0,descent,-41549.673239622294,True,descent_surrogate_idle_drag_balance
V05-0023_baseline,baseline_fixed_cycle_turbofan,blown_flap_clmax_increment_fraction,0.1,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0023_adaptive,adaptive_cycle_turbofan,blown_flap_clmax_increment_fraction,0.1,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0023_hybrid,adaptive_cycle_plus_hybrid_electric,blown_flap_clmax_increment_fraction,0.1,descent,-41330.10106467904,True,descent_surrogate_idle_drag_balance
V05-0024_baseline,baseline_fixed_cycle_turbofan,blown_flap_clmax_increment_fraction,0.2,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0024_adaptive,adaptive_cycle_turbofan,blown_flap_clmax_increment_fraction,0.2,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0024_hybrid,adaptive_cycle_plus_hybrid_electric,blown_flap_clmax_increment_fraction,0.2,descent,-41330.10106467904,True,descent_surrogate_idle_drag_balance
V05-0025_baseline,baseline_fixed_cycle_turbofan,blown_flap_clmax_increment_fraction,0.4,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0025_adaptive,adaptive_cycle_turbofan,blown_flap_clmax_increment_fraction,0.4,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0025_hybrid,adaptive_cycle_plus_hybrid_electric,blown_flap_clmax_increment_fraction,0.4,descent,-41330.10106467904,True,descent_surrogate_idle_drag_balance
V05-0026_baseline,baseline_fixed_cycle_turbofan,approach_descent_angle_deg,-2.5,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0026_adaptive,adaptive_cycle_turbofan,approach_descent_angle_deg,-2.5,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0026_hybrid,adaptive_cycle_plus_hybrid_electric,approach_descent_angle_deg,-2.5,descent,-41330.10106467904,True,descent_surrogate_idle_drag_balance
V05-0027_baseline,baseline_fixed_cycle_turbofan,approach_descent_angle_deg,-3.5,descent,-39897.2915536737,True,descent_surrogate_idle_drag_balance
V05-0027_adaptive,adaptive_cycle_turbofan,approach_descent_angle_deg,-3.5,descent,-39823.36356221416,True,descent_surrogate_idle_drag_balance
V05-0027_hybrid,adaptive_cycle_plus_hybrid_electric,approach_descent_angle_deg,-3.5,descent,-41330.10106467904,True,descent_surrogate_idle_drag_balance
V05-0028_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=0,descent,-40596.11857131867,True,descent_surrogate_idle_drag_balance
V05-0029_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=0,descent,-40596.11857131867,True,descent_surrogate_idle_drag_balance
V05-0030_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=0,descent,-40596.11857131867,True,descent_surrogate_idle_drag_balance
V05-0031_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=0,descent,-40596.11857131867,True,descent_surrogate_idle_drag_balance
V05-0032_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=0,descent,-41684.266795186035,True,descent_surrogate_idle_drag_balance
V05-0033_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=0,descent,-41684.266795186035,True,descent_surrogate_idle_drag_balance
V05-0034_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=0,descent,-41684.266795186035,True,descent_surrogate_idle_drag_balance
V05-0035_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=0,descent,-41684.266795186035,True,descent_surrogate_idle_drag_balance
V05-0036_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,descent,-40826.521503953554,True,descent_surrogate_idle_drag_balance
V05-0037_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,descent,-41187.23258168188,True,descent_surrogate_idle_drag_balance
V05-0038_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,takeoff,-49559.8411558033,True,takeoff_thrust_or_lift_proxy
V05-0039_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,takeoff,-51128.90515580331,True,takeoff_thrust_or_lift_proxy
V05-0040_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,descent,-41921.84085963268,True,descent_surrogate_idle_drag_balance
V05-0041_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=15;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,descent,-42295.73805985517,True,descent_surrogate_idle_drag_balance
