changed_parameter,propulsion_case,min_mission_fuel_delta_kg,max_mission_fuel_delta_kg,min_thrust_margin_delta_N,max_thrust_margin_delta_N,max_abs_fuel_delta_pct
approach_descent_angle_deg,adaptive_cycle_plus_hybrid_electric,0.0,0.0,0.0,0.0,9.257436234873857
approach_descent_angle_deg,adaptive_cycle_turbofan,0.0,0.0,0.0,0.0,12.880914732004436
approach_descent_angle_deg,baseline_fixed_cycle_turbofan,0.0,0.0,0.0,0.0,0.0
battery_capacity_Wh,adaptive_cycle_plus_hybrid_electric,0.0,0.0,-738.0607736414531,362.4373255736573,9.257436234873857
battery_capacity_Wh,adaptive_cycle_turbofan,0.0,0.0,0.0,0.0,12.880914732004436
battery_capacity_Wh,baseline_fixed_cycle_turbofan,0.0,0.0,0.0,0.0,0.0
blown_flap_clmax_increment_fraction,adaptive_cycle_plus_hybrid_electric,0.0,0.0,0.0,0.0,9.257436234873857
blown_flap_clmax_increment_fraction,adaptive_cycle_turbofan,0.0,0.0,0.0,0.0,12.880914732004436
blown_flap_clmax_increment_fraction,baseline_fixed_cycle_turbofan,0.0,0.0,0.0,0.0,0.0
cruise_ld,adaptive_cycle_plus_hybrid_electric,-730.7763984169524,0.0,-0.8950339743605582,17.825542794322246,14.586643388748138
cruise_ld,adaptive_cycle_turbofan,-1160.1985380743718,0.0,0.0,26.7775562806346,21.34169474955049
cruise_ld,baseline_fixed_cycle_turbofan,-1195.2576365765271,0.0,0.0,26.646560009525274,8.716449465753202
cruise_tsfc_multiplier,adaptive_cycle_plus_hybrid_electric,-897.3209624442879,897.3209624442861,-32.38377856199804,32.34914719800872,15.801174241107368
cruise_tsfc_multiplier,adaptive_cycle_turbofan,-911.1054663875402,911.2030107766404,-31.01863016022253,30.982323941367213,19.525176615563655
cruise_tsfc_multiplier,baseline_fixed_cycle_turbofan,-1068.1156864261538,1068.2607156060913,-36.436557725595776,36.38682019342377,7.790320897258436
hybrid_mass_per_MW_kg,adaptive_cycle_plus_hybrid_electric,0.0,0.0,-219.57217494325596,145.50237512923195,9.257436234873857
hybrid_mass_per_MW_kg,adaptive_cycle_turbofan,0.0,0.0,0.0,0.0,12.880914732004436
hybrid_mass_per_MW_kg,baseline_fixed_cycle_turbofan,0.0,0.0,0.0,0.0,0.0
max_generator_power_W_total,adaptive_cycle_plus_hybrid_electric,15.260194264728852,30.150407030687347,-10426.42969112427,-2.6466528602904873,9.146150844949833
max_generator_power_W_total,adaptive_cycle_turbofan,0.0,0.0,0.0,0.0,12.880914732004436
max_generator_power_W_total,baseline_fixed_cycle_turbofan,0.0,0.0,0.0,0.0,0.0
mtow_upper_kg,adaptive_cycle_plus_hybrid_electric,0.0,0.0,0.0,0.0,9.257436234873857
mtow_upper_kg,adaptive_cycle_turbofan,0.0,0.0,0.0,0.0,12.880914732004436
mtow_upper_kg,baseline_fixed_cycle_turbofan,0.0,0.0,0.0,0.0,0.0
sea_level_static_thrust_N_per_engine,adaptive_cycle_plus_hybrid_electric,1319.4693735797755,1876.5006244863853,1669.2904905522228,3928.1130682915027,4.426996614798779
sea_level_static_thrust_N_per_engine,adaptive_cycle_turbofan,1413.0962541196277,1974.0909604209592,1671.1949857204527,3934.112010868914,2.5758711059641803
sea_level_static_thrust_N_per_engine,baseline_fixed_cycle_turbofan,1602.8963011072665,2320.5351754793774,1663.7533725414833,3915.6937465712763,16.922567128291004
total_electric_power_W,adaptive_cycle_plus_hybrid_electric,-446.9103938621538,76.92966919599712,-52790.64619911421,375.6757003101666,12.516542677378409
total_electric_power_W,adaptive_cycle_turbofan,0.0,0.0,0.0,0.0,12.880914732004436
total_electric_power_W,baseline_fixed_cycle_turbofan,0.0,0.0,0.0,0.0,0.0
